mes,pedidos,receita,ticket_medio
2017-01,787,136943.46,174.0069377382465
2017-02,1718,283561.69,165.05337019790454
2017-03,2617,425617.96,162.63582728314864
2017-04,2377,405848.61,170.73984434160707
2017-05,3640,582710.83,160.08539285714284
2017-06,3205,499652.24,155.89773478939156
2017-07,3946,578753.73,146.66845666497719
2017-08,4272,661903.52,154.93996254681647
2017-09,4227,717102.72,169.64814762242725
2017-10,4547,764756.03,168.18914229162087
2017-11,7421,1172191.68,157.95602748955665
2017-12,5618,861526.77,153.35115165539338
2018-01,7187,1101920.01,153.32127591484624
2018-02,6624,979486.16,147.86928743961354
2018-03,7168,1152656.99,160.80594168526787
2018-04,6919,1156248.89,167.11213903743314
2018-05,6833,1145686.46,167.6696121762037
2018-06,6145,1020381.9,166.05075671277461
2018-07,6233,1039783.58,166.8191208085994
2018-08,6421,996973.51,155.26763899704096
