mes,receita,vendedores,clientes,receita_por_vendedor
2017-01,136943.46,226,753,605.9445132743363
2017-02,283561.69,425,1693,667.2039764705883
2017-03,425617.96,490,2577,868.6080816326531
2017-04,405848.61,503,2345,806.856083499006
2017-05,582710.83,577,3569,1009.897452339688
2017-06,499652.24,534,3142,935.678352059925
2017-07,578753.73,602,3872,961.3849335548173
2017-08,661903.52,700,4191,945.5764571428572
2017-09,717102.72,726,4154,987.7447933884297
2017-10,764756.03,773,4481,989.3350970245796
2017-11,1172191.68,960,7313,1221.033
2017-12,861526.77,859,5551,1002.9415250291037
2018-01,1101920.01,968,7088,1138.3471177685951
2018-02,979486.16,933,6468,1049.824394426581
2018-03,1152656.99,993,7077,1160.7824672708962
2018-04,1156248.89,1116,6863,1036.0653136200715
2018-05,1145686.46,1107,6775,1034.94711833785
2018-06,1020381.9,1168,6106,873.6146404109589
2018-07,1039783.58,1245,6172,835.1675341365461
2018-08,996973.51,1266,6380,787.4988230647709
